index,programa,radio,banda,ciudad,provincia,pais,inicio,duracion,usuario,reproducciones,etiquetas,titulo,descripcion,link
11,y-ahora-quien-podra-ayudarno,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T11:15:59+00:00,500,HernanO,108,,Julia Mengolini,Tenembaun sobre lo que dijo Julia Mengolini,https://radiocut.fm/audiocut/julia-mengolini-4/
12,la-manana-con-victor-hugo,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T12:11:09+00:00,178,RadioAM750,113,,El editorial de Víctor Hugo Morales,Volvé a escuchar el editorial de VHM por la 750. ,https://radiocut.fm/audiocut/editorial-victor-hugo-morales-2649/
13,te-quiero-a-las-10,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T11:26:23+00:00,326,RadioAM750,40,,Germán Martínez: “¿Quiénes fueron los financistas del intento de magnicidio?”  ,"El jefe de la bancada de Unión por la Patria en Diputados, Germán Martínez, instó a la Justicia federal a preguntarse quiénes financiaron el intento de magnicidio de Cristina Fernández de Kirchner",https://radiocut.fm/audiocut/german-martinez-quienes-fueron-financistas-del-intento-magnicidio/
14,renzis-ayer-y-hoy,Belgrano,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T10:25:47+00:00,1069,EmilioRoman,92,"2001, 7 de agost, aceiteros, argentinazo, arnoldo gomez, ayer y hoy de renzis, cambio, ccc, chaco, conaduh, default, deuda externa usuraria, fnc, miei, napalpi, originario, paro docentes universitarios, pueblo en lucha, san cayetanos, unidad popular",ARGENTINA OCULTA CON ARNOLDO GOMEZ EN AYER Y HOY DE RENZIS,En su columna de los lunes Gómez retoma el balance de lo que lo que significo  y no fue visibilizado suficientemente: la jornada del 7 de agosto en Plaza de Mayo y en toda Nación. Y las múltiples luchas que recorren el país como es la lucha de los aceiteros y la marcha de los originarios que conmociona al Chaco Y que pone en discusión cual es la salida en la Argentina.,https://radiocut.fm/audiocut/argentina-oculta-con-arnoldo-gomez-en-ayer-y-hoy-renzis-7/
15,y-ahora-quien-podra-ayudarno,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T12:23:18+00:00,1359,dderosa,69,,Galperonia: detrás de las inversiones hay negociados escandalosos,"Menemismo 2.0, progreso a cambios de negocios fáciles y negociados. Estabilización a cambios de desocupación y pobreza. El relato de la desestabilización al igual que los K. Como surge el fenómeno conservador de los 80. Como influye en la sociedad la inflación.",https://radiocut.fm/audiocut/galperonia-detras-inversiones-hay-negociados-escandalosos/
16,jugo-limon,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T23:05:36+00:00,941,somosradio,122,"jugo de limón, sandra russo, somos radio am 530","Editorial de Sandra Russo: ""Un teléfono cargado de pasado""","Editorial de Sandra Russo, en #JugoDeLimón ",https://radiocut.fm/audiocut/editorial-sandra-russo-un-telefono-cargado-pasado/
17,punto-de-partida,Radio Gráfica - Recuperando el aire,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T12:45:02+00:00,798,RadioGrafica893,51,,"Juan Valerdi: ""El desempleo va a acelerarse en el segundo semestre""",El economista Juan Valerdi en comunicación con Lucas Molinari.,https://radiocut.fm/audiocut/juan-valerdi-desempleo-va-a-acelerarse-en-segundo-semestre/
18,siempre-es-hoy-1,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T14:01:57+00:00,238,somosradio,64,"juan luis gonzález, siempre es hoy, somos radio am 530",Columna de Juan Luis González,La habitual columna de #SiempreEsHoy,https://radiocut.fm/audiocut/columna-juan-luis-gonzalez-3/
19,caballero-dia-3,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T12:13:22+00:00,1065,somosradio,164,"caballero de día, roberto caballero, somos radio am 530","Editorial de Roberto Caballero: ALBERTO, EL PRESIDENTE DE TODOS",El habitual editorial de #CaballeroDeDía,https://radiocut.fm/audiocut/editorial-roberto-caballero-alberto-presidente-todos/
20,buen-dia-reublica,Radio República AM 770,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T10:26:32+00:00,711,REPUBLICA,18,,"Gustavo Neffa: ""Tuvimos un desastre financiero cronico en las reservas y en el deficit fiscal"" ","En ""Buen dia republica"" Mariano Obarrio dialogó con Gustavo Neffa, docente, socio y director de Research For Traders sobre las reservas del banco central y demas temas de agenda economica. ",https://radiocut.fm/audiocut/gustavo-neffa-tuvimos-un-desastre-financiero-cronico-en-reservas-y-en-deficit-fiscal/
